support,itemsets
0.030602521771888228,"frozenset({'/shuttle/countdown/images', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.03055820240654154,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-68'})"
0.03055820240654154,"frozenset({'/history/apollo', '/history/apollo/apollo-11'})"
0.03046956367584816,"frozenset({'/shuttle/technology/sts-newsref', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.030425244310501472,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70', '/shuttle/countdown', '/history/apollo/images', '/shuttle/missions'})"
0.03040308462782813,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown/video'})"
0.030314445897134754,"frozenset({'/facilities', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions'})"
0.03024796684911472,"frozenset({'/shuttle/technology/images', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.030225807166441375,"frozenset({'/shuttle/technology/images', '/history/apollo/images', '/shuttle/missions'})"
0.030203647483768033,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/countdown/images', '/history/apollo/images', '/shuttle/missions'})"
0.03009284907040131,"frozenset({'/shuttle/countdown', '/shuttle/technology/sts-newsref', '/shuttle/countdown/video'})"
0.03007068938772797,"frozenset({'/history/apollo/images', '/history/mercury'})"
0.029627495734261086,"frozenset({'/shuttle/resources/orbiters', '/history'})"
0.02960533605158774,"frozenset({'/shuttle/missions/sts-69', '/shuttle/technology/sts-newsref', '/shuttle/countdown/images'})"
0.02942805859020099,"frozenset({'/shuttle/missions/sts-71', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions'})"
0.02942805859020099,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/sts-newsref', '/history/apollo/images', '/shuttle/missions'})"
0.02942805859020099,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70', '/shuttle/technology/sts-newsref'})"
0.02922862144614089,"frozenset({'/shuttle/countdown/images', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.029184302080794203,"frozenset({'/shuttle/resources/orbiters', '/shuttle/countdown', '/shuttle/missions'})"
0.028851906840694042,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/shuttle/missions/sts-70'})"
0.028763268110000666,"frozenset({'/shuttle/technology/images', '/history/apollo/images', '/shuttle/technology/sts-newsref', '/shuttle/missions'})"
0.028763268110000666,"frozenset({'/shuttle/missions/sts-70', '/history'})"
0.02851951160059388,"frozenset({'/history/apollo/apollo-13', '/shuttle/missions'})"
0.028497351917920535,"frozenset({'/history/apollo', '/history/apollo/apollo-11', '/history/apollo/images'})"
0.028453032552573847,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70', '/shuttle/missions/sts-71'})"
0.0284308728699005,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/sts-newsref', '/shuttle/technology/images'})"
0.028120637312473686,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.02803199858178031,"frozenset({'/shuttle/missions/sts-73', '/history/apollo/images', '/shuttle/missions'})"
0.027788242072373525,"frozenset({'/history/apollo', '/shuttle/countdown'})"
0.02776608238970018,"frozenset({'/shuttle/missions/sts-69', '/shuttle/technology/sts-newsref', '/shuttle/countdown/video'})"
0.02761096461098677,"frozenset({'/shuttle/technology/sts-newsref', '/history'})"
0.02761096461098677,"frozenset({'/shuttle/countdown', '/shuttle/countdown/lps'})"
0.02761096461098677,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/history'})"
0.027588804928313428,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions/sts-71'})"
0.027566645245640082,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.027500166197620052,"frozenset({'/shuttle/missions', '/shuttle/missions/51-l'})"
0.027433687149600018,"frozenset({'/facilities', '/shuttle/countdown', '/shuttle/missions'})"
0.027322888736233297,"frozenset({'/shuttle/missions/sts-71', '/shuttle/countdown', '/shuttle/missions'})"
0.02696833381345979,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70', '/history'})"
0.026946174130786447,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-71'})"
0.026547299842666253,"frozenset({'/facilities', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.026502980477319565,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-73'})"
0.026502980477319565,frozenset({'/shuttle/missions/sts-1'})
0.026458661111972877,"frozenset({'/shuttle/countdown', '/shuttle/missions', '/history'})"
0.02643650142929953,frozenset({'/elv/DELTA'})
