antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history/apollo/apollo-13/images'}),0.07210655311563885,0.013858836927190355,0.011556457802094423,0.1602691753072856,11.564402997833488,1.0,0.010557144841082994,1.1743538930271753,0.9845179406057484,0.15531008783603942,0.1484679312279,0.4970692071606096
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history/apollo/apollo-13/movies'}),0.07210655311563885,0.014492610105711385,0.011462382095907707,0.1589644990729932,10.968659055441433,1.0,0.010417369935535985,1.1717785858124206,0.979456376139507,0.1525535420098847,0.14659645422118928,0.47493834793075695
frozenset({'/history/apollo/apollo-13/movies'}),frozenset({'/history/apollo/apollo-13'}),0.014492610105711385,0.07210655311563885,0.011462382095907707,0.7909121967885208,10.968659055441433,1.0,0.010417369935535985,4.437817187958376,0.9221961826450019,0.1525535420098847,0.7746639941110212,0.47493834793075695
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history/apollo/apollo-13/sounds'}),0.07210655311563885,0.012729928452949768,0.010392889857153467,0.14413239030419556,11.322325246124798,1.0,0.009474978595002563,1.1535312942827096,0.9825254424610199,0.13960758230794812,0.1330967742649571,0.480273118528216
frozenset({'/history/apollo/apollo-13/sounds'}),frozenset({'/history/apollo/apollo-13'}),0.012729928452949768,0.07210655311563885,0.010392889857153467,0.8164138467522365,11.322325246124798,1.0,0.009474978595002563,5.054267059194264,0.9234341703766414,0.13960758230794812,0.8021473760115444,0.480273118528216
frozenset({'/history/apollo/images'}),frozenset({'/history/apollo/apollo-13'}),0.20629316960859556,0.07210655311563885,0.05109301116530092,0.2476718509984639,3.4348036384608087,1.0,0.03621792177352523,1.2333626597859315,0.8931037441864436,0.22477563823298768,0.18920846835628627,0.4781241902798403
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history/apollo/images'}),0.07210655311563885,0.20629316960859556,0.05109301116530092,0.7085765295612168,3.4348036384608087,1.0,0.03621792177352523,2.7235515011757827,0.763948214516553,0.22477563823298768,0.6328323515937588,0.4781241902798403
frozenset({'/history/apollo/apollo-13'}),frozenset({'/icons'}),0.07210655311563885,0.08148936696952443,0.023979402371698065,0.33255510540410627,4.0809631706732485,1.0,0.018103485003950266,1.376159500907697,0.8136276964366622,0.18500267400106962,0.2733400457284109,0.3134096465166114
frozenset({'/icons'}),frozenset({'/history/apollo/apollo-13'}),0.08148936696952443,0.07210655311563885,0.023979402371698065,0.2942641876291165,4.080963170673248,1.0,0.018103485003950266,1.3147886654173755,0.8219391050883437,0.18500267400106962,0.2394214931244838,0.3134096465166114
frozenset({'/history/apollo/apollo-13'}),frozenset({'/images'}),0.07210655311563885,0.649577897160399,0.05106825440051494,0.7082331937100872,1.0902975560069041,1.0,0.004229431256173637,1.2010348514128286,0.08925506070258757,0.07615123928500234,0.16738469427123007,0.3934253961720751
frozenset({'/history/apollo/apollo-13/images'}),frozenset({'/icons'}),0.013858836927190355,0.08148936696952443,0.010932587329487783,0.7888531618435156,9.680442874694716,1.0,0.009803239481357171,4.3501036579565175,0.9093007924567184,0.12950906211508006,0.7701204204247043,0.46150642051344576
frozenset({'/icons'}),frozenset({'/history/apollo/apollo-13/images'}),0.08148936696952443,0.013858836927190355,0.010932587329487783,0.13415967918337587,9.680442874694716,1.0,0.009803239481357171,1.1389411411826176,0.9762531960003383,0.12950906211508006,0.1219915025971828,0.46150642051344576
frozenset({'/history/apollo/apollo-13/movies'}),frozenset({'/icons'}),0.014492610105711385,0.08148936696952443,0.011432673978164533,0.7888623163648787,9.680555214766844,1.0,0.01025168035491398,4.350292270032688,0.9098867740927842,0.13521902084797374,0.7701303871262687,0.46457941434965283
frozenset({'/icons'}),frozenset({'/history/apollo/apollo-13/movies'}),0.08148936696952443,0.014492610105711385,0.011432673978164533,0.140296512334427,9.680555214766843,1.0,0.01025168035491398,1.1463340605611847,0.9762545011340791,0.13521902084797374,0.1276539410244403,0.46457941434965283
frozenset({'/history/apollo/apollo-13/sounds'}),frozenset({'/icons'}),0.012729928452949768,0.08148936696952443,0.010259203327309186,0.8059120964605212,9.889782267690434,1.0,0.009221849516110972,4.732446568179063,0.9104758315378996,0.12219142537005366,0.7886928070727744,0.46590415857173584
frozenset({'/icons'}),frozenset({'/history/apollo/apollo-13/sounds'}),0.08148936696952443,0.012729928452949768,0.010259203327309186,0.12589622068295053,9.889782267690434,1.0,0.009221849516110972,1.1294655107410922,0.97863378715449,0.12219142537005366,0.1146254662137883,0.46590415857173584
frozenset({'/htbin'}),frozenset({'/history/apollo/images'}),0.10488946104523061,0.20629316960859556,0.01967667665189513,0.1875944108761329,0.9093583235550639,1.0,-0.0019613027256628057,0.9769834686235626,-0.1001988540037627,0.06750008492713251,-0.02355877260529766,0.141488257665409
frozenset({'/history/apollo/images'}),frozenset({'/icons'}),0.20629316960859556,0.08148936696952443,0.03649147129453123,0.17689132104454683,2.1707288646714,1.0,0.019680771492990044,1.115904444351249,0.6795018245737959,0.14521595208070617,0.10386592233587898,0.31234892944923903
frozenset({'/icons'}),frozenset({'/history/apollo/images'}),0.08148936696952443,0.20629316960859556,0.03649147129453123,0.4478065378539312,2.1707288646714002,1.0,0.019680771492990044,1.4373709303016873,0.5871736483313518,0.14521595208070617,0.3042853595278209,0.31234892944923903
frozenset({'/history/apollo/images'}),frozenset({'/images'}),0.20629316960859556,0.649577897160399,0.1906617483227292,0.9242271505376344,1.4228118822667033,1.0,0.056658265009824155,4.624639370512869,0.3744032264171234,0.2866191784084735,0.7837669232381463,0.6088717617436022
frozenset({'/images'}),frozenset({'/history/apollo/images'}),0.649577897160399,0.20629316960859556,0.1906617483227292,0.2935163729495701,1.4228118822667033,1.0,0.056658265009824155,1.1234610400033354,0.8480241278155696,0.2866191784084735,0.10989347703857072,0.6088717617436022
frozenset({'/history/apollo/images'}),frozenset({'/shuttle/countdown'}),0.20629316960859556,0.25431139058747804,0.03747183918005595,0.18164362519201227,0.714256741596993,1.0,-0.01499086365180445,0.9112027869123449,-0.3351222824609591,0.08855812211846754,-0.09745055037479496,0.16449495616518178
